foe_ship_time,foe_ship_id,foe_ship_x,foe_ship_y
0,2,204.23809842826614,559.5763094866319
0,3,168.10903632416137,528.9704154405722
2,2,204.36217820569826,559.5139049011498
2,3,168.2478959243062,528.9675632651904
4,2,204.48625798313037,559.4515003156677
4,3,168.38675552445102,528.9647110898086
6,2,204.6103377605625,559.3890957301855
6,3,168.52561512459584,528.9618589144268
8,2,204.7344175379946,559.3266911447034
8,3,168.66447472474067,528.959006739045
10,2,204.85849731542672,559.2642865592213
10,3,168.8033343248855,528.9561545636632
12,2,204.98257709285883,559.2018819737392
12,3,168.94219392503032,528.9533023882814
14,2,205.10665687029095,559.1394773882571
14,3,169.08105352517515,528.9504502128996
16,2,205.23073664772306,559.077072802775
16,3,169.21991312531998,528.9475980375178
18,2,205.35481642515518,559.0146682172929
18,3,169.3587727254648,528.944745862136
20,2,205.4788962025873,558.9522636318108
20,3,169.49763232560963,528.9418936867542
22,2,205.6029759800194,558.8898590463286
22,3,169.63649192575446,528.9390415113724
24,2,205.72705575745152,558.8274544608465
24,3,169.77535152589928,528.9361893359905
26,2,205.85113553488364,558.7650498753644
26,3,169.9142111260441,528.9333371606087
28,2,205.97521531231575,558.7026452898823
28,3,170.05307072618893,528.9304849852269
30,2,206.09929508974787,558.6402407044002
30,3,170.19193032633376,528.9276328098451
32,2,206.22337486717998,558.5778361189181
32,3,170.3307899264786,528.9247806344633
34,2,206.3474546446121,558.515431533436
34,3,170.4696495266234,528.9219284590815
36,2,206.47153442204421,558.4530269479538
36,3,170.60850912676824,528.9190762836997
38,2,206.59561419947633,558.3906223624717
38,3,170.74736872691307,528.9162241083179
40,2,206.71969397690845,558.3282177769896
40,3,170.8862283270579,528.9133719329361
42,2,206.84377375434056,558.2658131915075
42,3,171.02508792720272,528.9105197575543
44,2,206.96785353177268,558.2034086060254
44,3,171.16394752734755,528.9076675821725
46,2,207.0919333092048,558.1410040205433
46,3,171.30280712749237,528.9048154067907
48,2,207.2160130866369,558.0785994350612
48,3,171.4416667276372,528.9019632314089
50,2,207.34009286406902,558.016194849579
50,3,171.58052632778202,528.8991110560271
52,2,207.46417264150114,557.9537902640969
52,3,171.71938592792685,528.8962588806453
54,2,207.58825241893325,557.8913856786148
54,3,171.85824552807168,528.8934067052635
56,2,207.71233219636537,557.8289810931327
56,3,171.9971051282165,528.8905545298817
58,2,207.83641197379748,557.7665765076506
58,3,172.13596472836133,528.8877023544999
60,2,207.9604917512296,557.7041719221685
60,3,172.27482432850616,528.8848501791181
62,2,208.0845715286617,557.6417673366864
62,3,172.41368392865098,528.8819980037363
64,2,208.20865130609383,557.5793627512043
64,3,172.5525435287958,528.8791458283545
66,2,208.33273108352594,557.5169581657221
66,3,172.69140312894064,528.8762936529727
68,2,208.45681086095806,557.45455358024
68,3,172.83026272908546,528.8734414775909
70,2,208.58089063839017,557.3921489947579
70,3,172.9691223292303,528.870589302209
72,2,208.7049704158223,557.3297444092758
72,3,173.10798192937511,528.8677371268273
74,2,208.8290501932544,557.2673398237937
74,3,173.24684152951994,528.8648849514454
76,2,208.95312997068652,557.2049352383116
76,3,173.38570112966477,528.8620327760636
78,2,209.07720974811863,557.1425306528295
78,3,173.5245607298096,528.8591806006818
80,2,209.20128952555075,557.0801260673474
80,3,173.66342032995442,528.8563284253
82,2,209.32536930298286,557.0177214818652
82,3,173.80227993009925,528.8534762499182
84,2,209.44944908041498,556.9553168963831
84,3,173.94113953024407,528.8506240745364
86,2,209.5735288578471,556.892912310901
86,3,174.0799991303889,528.8477718991546
88,2,209.6976086352792,556.8305077254189
88,3,174.21885873053373,528.8449197237728
90,2,209.82168841271132,556.7681031399368
90,3,174.35771833067855,528.842067548391
92,2,209.94576819014344,556.7056985544547
92,3,174.49657793082338,528.8392153730092
94,2,210.06984796757556,556.6432939689726
94,3,174.6354375309682,528.8363631976274
96,2,210.19392774500767,556.5808893834904
96,3,174.77429713111303,528.8335110222456
98,2,210.31800752243979,556.5184847980083
98,3,174.91315673125786,528.8306588468638
100,2,210.4420872998719,556.4560802125262
100,3,175.05201633140268,528.827806671482
102,2,210.56616707730402,556.3936756270441
102,3,175.1908759315475,528.8249544961002
104,2,210.69024685473613,556.331271041562
104,3,175.32973553169234,528.8221023207184
106,2,210.81432663216825,556.2688664560799
106,3,175.46859513183716,528.8192501453366
108,2,210.93840640960036,556.2064618705978
108,3,175.607454731982,528.8163979699548
110,2,211.06248618703248,556.1440572851157
110,3,175.74631433212681,528.813545794573
112,2,211.1865659644646,556.0816526996335
112,3,175.88517393227164,528.8106936191912
114,2,211.3106457418967,556.0192481141514
114,3,176.02403353241647,528.8078414438094
116,2,211.43472551932882,555.9568435286693
116,3,176.1628931325613,528.8049892684276
118,2,211.55880529676094,555.8944389431872
118,3,176.30175273270612,528.8021370930458
120,2,211.68288507419305,555.8320343577051
120,3,176.44061233285095,528.799284917664
122,2,211.80696485162517,555.769629772223
122,3,176.57947193299577,528.7964327422821
124,2,211.93104462905728,555.7072251867409
124,3,176.7183315331406,528.7935805669003
126,2,212.0551244064894,555.6448206012587
126,3,176.85719113328543,528.7907283915185
128,2,212.1792041839215,555.5824160157766
128,3,176.99605073343025,528.7878762161367
130,2,212.30328396135363,555.5200114302945
130,3,177.13491033357508,528.7850240407549
132,2,212.42736373878574,555.4576068448124
132,3,177.2737699337199,528.7821718653731
134,2,212.55144351621786,555.3952022593303
134,3,177.41262953386473,528.7793196899913
136,2,212.67552329364997,555.3327976738482
136,3,177.55148913400956,528.7764675146095
138,2,212.7996030710821,555.2703930883661
138,3,177.69034873415438,528.7736153392277
140,2,212.9236828485142,555.207988502884
140,3,177.8292083342992,528.7707631638459
142,2,213.04776262594632,555.1455839174018
142,3,177.96806793444404,528.7679109884641
144,2,213.17184240337843,555.0831793319197
144,3,178.10692753458886,528.7650588130823
146,2,213.29592218081055,555.0207747464376
146,3,178.2457871347337,528.7622066377005
148,2,213.42000195824266,554.9583701609555
148,3,178.38464673487852,528.7593544623187
150,2,213.54408173567478,554.8959655754734
150,3,178.52350633502334,528.7565022869369
152,2,213.6681615131069,554.8335609899913
152,3,178.66236593516817,528.7536501115551
154,2,213.792241290539,554.7711564045092
154,3,178.801225535313,528.7507979361733
156,2,213.91632106797113,554.708751819027
156,3,178.94008513545782,528.7479457607915
158,2,214.04040084540324,554.6463472335449
158,3,179.07894473560265,528.7450935854097
160,2,214.16448062283536,554.5839426480628
160,3,179.21780433574747,528.7422414100279
162,2,214.28856040026747,554.5215380625807
162,3,179.3566639358923,528.7393892346461
164,2,214.4126401776996,554.4591334770986
164,3,179.49552353603713,528.7365370592643
166,2,214.5367199551317,554.3967288916165
166,3,179.63438313618195,528.7336848838825
168,2,214.66079973256382,554.3343243061344
168,3,179.77324273632678,528.7308327085007
170,2,214.78487950999593,554.2719197206522
170,3,179.9121023364716,528.7279805331189
172,2,214.90895928742805,554.2095151351701
172,3,180.05096193661643,528.725128357737
174,2,215.03303906486016,554.147110549688
174,3,180.18982153676126,528.7222761823552
176,2,215.15711884229228,554.0847059642059
176,3,180.32868113690608,528.7194240069734
178,2,215.2811986197244,554.0223013787238
178,3,180.4675407370509,528.7165718315916
180,2,215.4052783971565,553.9598967932417
180,3,180.60640033719574,528.7137196562098
182,2,215.52935817458862,553.8974922077596
182,3,180.74525993734056,528.710867480828
184,2,215.65343795202074,553.8350876222775
184,3,180.8841195374854,528.7080153054462
186,2,215.77751772945285,553.7726830367953
186,3,181.02297913763022,528.7051631300644
188,2,215.90159750688497,553.7102784513132
188,3,181.16183873777504,528.7023109546826
190,2,216.02567728431708,553.6478738658311
190,3,181.30069833791987,528.6994587793008
192,2,216.1497570617492,553.585469280349
192,3,181.4395579380647,528.696606603919
194,2,216.2738368391813,553.5230646948669
194,3,181.57841753820952,528.6937544285372
196,2,216.39791661661343,553.4606601093848
196,3,181.71727713835435,528.6909022531554
198,2,216.52199639404554,553.3982555239027
198,3,181.85613673849917,528.6880500777736
200,2,216.64607617147766,553.3358509384205
200,3,181.994996338644,528.6851979023918
202,2,216.77015594890977,553.2734463529384
202,3,182.13385593878883,528.68234572701
204,2,216.8942357263419,553.2110417674563
204,3,182.27271553893365,528.6794935516282
206,2,217.018315503774,553.1486371819742
206,3,182.41157513907848,528.6766413762464
208,2,217.14239528120612,553.0862325964921
208,3,182.5504347392233,528.6737892008646
210,2,217.26647505863824,553.02382801101
210,3,182.68929433936813,528.6709370254828
212,2,217.39055483607035,552.9614234255279
212,3,182.82815393951296,528.668084850101
214,2,217.51463461350247,552.8990188400458
214,3,182.96701353965778,528.6652326747192
216,2,217.63871439093458,552.8366142545636
216,3,183.1058731398026,528.6623804993374
218,2,217.7627941683667,552.7742096690815
218,3,183.24473273994744,528.6595283239556
220,2,217.8868739457988,552.7118050835994
220,3,183.38359234009226,528.6566761485738
222,2,218.01095372323093,552.6494004981173
222,3,183.5224519402371,528.653823973192
224,2,218.13503350066304,552.5869959126352
224,3,183.66131154038192,528.6509717978101
226,2,218.25911327809516,552.5245913271531
226,3,183.80017114052674,528.6481196224283
228,2,218.38319305552727,552.462186741671
228,3,183.93903074067157,528.6452674470465
230,2,218.5072728329594,552.3997821561888
230,3,184.0778903408164,528.6424152716647
232,2,218.6313526103915,552.3373775707067
232,3,184.21674994096122,528.6395630962829
234,2,218.75543238782362,552.2749729852246
234,3,184.35560954110605,528.6367109209011
236,2,218.87951216525573,552.2125683997425
236,3,184.49446914125087,528.6338587455193
238,2,219.00359194268785,552.1501638142604
238,3,184.6333287413957,528.6310065701375
240,2,219.12767172011996,552.0877592287783
240,3,184.77218834154053,528.6281543947557
242,2,219.25175149755208,552.0253546432962
242,3,184.91104794168535,528.6253022193739
244,2,219.3758312749842,551.962950057814
244,3,185.04990754183018,528.6224500439921
246,2,219.4999110524163,551.9005454723319
246,3,185.188767141975,528.6195978686103
248,2,219.62399082984842,551.8381408868498
248,3,185.32762674211983,528.6167456932285
250,2,219.74807060728054,551.7757363013677
250,3,185.46648634226466,528.6138935178467
252,2,219.87215038471265,551.7133317158856
252,3,185.60534594240949,528.6110413424649
254,2,219.99623016214477,551.6509271304035
